Team,Conf,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Offensive Average Possession Length (seconds),Offensive Average Possession Length Rank,Defensive Average Possession Length (seconds),Defensive Average Possession Length Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Adjusted Offensive Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Valparaiso,MVC,67,239,67.1,276,17.5,201,18.3,334,96.6,275,93.4,308,99.5,123,101.7,180
Little Rock,SB,67,240,68,226,17.4,183,17.6,250,98.4,243,99.2,210,105.3,235,101.1,154
Wake Forest,ACC,67,241,67.2,272,18.9,315,16.7,57,101.3,191,97.3,250,101.9,169,107.7,298
Arkansas Pine Bluff,SWAC,67,242,69.4,164,18.5,298,16,9,91.2,331,88.4,340,114.7,354,109.7,320
Hartford 16,AE,66.9,243,66.9,281,18.6,303,17.2,148,97,271,98,233,100,127,95.7,44
Indiana St.,MVC,66.9,244,66.2,300,17.7,219,18.2,327,102.6,166,99.7,199,97.3,85,99.5,120
Hawaii,BW,66.9,245,67.3,260,17.5,204,18,309,101.7,185,102,154,103.9,208,102.2,194
Cornell,Ivy,66.8,246,0,348,0,1,0,1,101.3,190,0,348,106.5,266,200,348
South Florida,Amer,66.8,247,67.7,241,18,253,17.2,159,100.8,200,94.6,290,101,147,104.4,247
Cal Poly,BW,66.8,248,67.9,230,17.5,203,17.6,244,90.1,343,87.6,342,105.9,253,105.6,272
Austin Peay,OVC,66.8,249,68.6,196,17.9,245,16.9,98,104,137,105.5,87,109,302,103.3,230
Idaho,BSky,66.8,250,67.5,255,17.7,227,17.6,247,90.6,338,89.5,336,113.6,349,112.1,335
Ohio St. 2,B10,66.7,251,67.6,245,18.2,277,17.3,168,120.7,4,112.9,10,97.1,82,104.1,243
Gardner Webb,BSth,66.7,252,67,278,17.1,160,18.2,329,104.5,130,106.6,66,105.6,246,102.1,191
Saint Peter's,MAAC,66.7,253,68,225,17.8,240,17.4,187,90.4,339,92.9,315,95.8,61,90.2,8
UC Riverside,BW,66.7,254,66.8,282,19.1,325,16.8,84,103.6,147,103.8,115,95.6,58,94.1,22
Georgia Southern,SB,66.6,255,67.3,262,18.1,261,17.4,198,94.1,305,95.2,284,104.2,213,101.1,155
Michigan 1,B10,66.6,256,67.6,250,17.4,194,18.1,321,117.6,9,111.6,17,87.9,4,95.8,48
Princeton,Ivy,66.6,257,0,348,0,1,0,1,104,138,0,348,103.9,209,200,348
TCU,B12,66.6,258,67.6,249,18.3,280,17,118,104.7,128,98.1,231,101.9,166,104.9,256
Dartmouth,Ivy,66.6,259,0,348,0,1,0,1,94.8,292,0,348,105.5,244,200,348
North Florida,ASun,66.5,260,68.1,217,17.8,232,17.2,152,101.9,176,100.8,182,114.2,352,111,331
South Alabama,SB,66.5,261,67.6,248,17,146,18.3,336,103.3,157,103.8,116,108.4,294,103.9,239
Delaware,CAA,66.5,262,67.2,269,18.6,304,17,107,97,269,99.3,208,103.1,193,99.4,117
Merrimack,NEC,66.5,263,68,228,17.4,178,17.8,281,90.7,336,96.6,265,102.1,173,97.2,62
Seton Hall,BE,66.5,264,67.8,232,17.3,170,18,306,110.3,51,103.5,121,95.9,63,101.2,158
Elon,CAA,66.5,265,66.3,294,17.6,215,18.5,342,96.7,274,98.1,232,100.9,142,98.9,104
New Hampshire,AE,66.4,266,67.3,258,18.4,293,17.2,155,96,282,97.3,252,105.8,249,99.4,115
Vermont,AE,66.4,267,66.5,290,17.9,243,17.9,286,105.5,118,108.4,44,102.2,177,94,21
Stony Brook,AE,66.4,268,67.5,252,17.7,224,17.7,257,94.7,295,95.8,275,101.3,157,97.7,72
Chattanooga,SC,66.4,269,68.1,222,18.2,273,16.8,85,103,161,103.3,126,102.3,178,101.6,172
Providence,BE,66.3,270,67.2,268,18.2,269,17.3,162,107.3,96,101.7,160,96.6,74,101.8,182
Drake 11,MVC,66.3,271,66,310,18.1,264,18.2,326,112.5,33,112.2,14,98.2,101,97.9,76
Sacred Heart,NEC,66.2,272,68,227,17.8,239,17.4,217,98.2,248,101.1,177,113.5,348,108.7,310
Siena,MAAC,66.2,273,66.2,301,18.9,314,17.6,237,99.8,224,102,152,101.8,163,95,36
Southern Illinois,MVC,66.2,274,65.4,322,18.5,297,17.9,291,100,219,97.1,254,102.8,188,103.8,237
Murray St.,OVC,66.2,275,67.2,270,17.3,172,18.1,323,103.3,158,106.7,64,103.5,195,98.6,92
Colorado 5,P12,66.1,276,66.4,292,17.8,237,18.4,340,116.3,13,109.9,27,91.2,23,96.4,54
High Point,BSth,66.1,277,67.4,256,18.4,292,17.1,134,96.1,280,98.5,222,107.3,277,103.2,225
Purdue 4,B10,66.1,278,66.5,291,18.4,295,17.8,267,113.3,26,106,80,92.9,34,99.5,121
Cleveland St. 15,Horz,66.1,279,67.6,251,17.6,212,17.8,268,100.6,206,102.9,139,100.7,138,102.7,212
Marist,MAAC,66.1,280,66.8,283,18.2,276,17.4,202,91.6,328,94,301,101.3,155,94.4,25
UNLV,MWC,66.1,281,66.7,285,18.4,290,17.3,179,103.7,143,101.2,174,104.4,217,104.4,249
Lipscomb,ASun,66,282,67.3,259,17.5,207,17.9,297,100.9,198,101.8,157,107.7,282,103.8,238
Western Michigan,MAC,66,283,68,224,18.3,281,16.5,38,94.7,294,93.2,311,105.2,233,107.7,299
Loyola Marymount,WCC,66,284,67.7,237,18.5,300,17,106,107.8,89,102.6,146,99,114,100,131
Green Bay,Horz,65.9,285,67.7,238,18.9,313,16.6,50,102.3,169,103,136,110.6,324,109.9,325
Navy,Pat,65.9,286,67.2,267,18.3,282,17.1,126,103.7,145,105,91,103.7,201,98.4,88
North Carolina Central,MEAC,65.9,287,68.7,187,17.7,228,17.2,158,93.3,311,93.5,306,109.5,311,104.5,250
Bradley,MVC,65.9,288,65.9,313,17.1,155,19.1,347,103.5,149,101.1,178,101.7,162,102.5,208
Indiana,B10,65.9,289,67.2,266,18.1,259,17.5,227,109.1,70,100.3,189,94.2,43,100.5,142
Binghamton,AE,65.9,290,66.1,302,18.3,284,17.7,260,97.2,266,97.1,256,112.5,340,107.5,297
Wofford,SC,65.9,291,67.3,263,18.1,263,17.4,211,106.4,106,106.4,72,102,171,103.5,231
Jacksonville St.,OVC,65.8,292,67.7,239,18.3,283,16.8,81,104.9,125,106.1,77,104.5,220,101.3,161
Miami OH,MAC,65.8,293,67.8,235,18.4,288,16.7,66,106,111,105.6,84,105.3,234,105.7,275
Towson,CAA,65.8,294,66.9,280,18.9,318,16.9,97,99,236,99.3,209,111.4,332,111.1,332
Fresno St.,MWC,65.8,295,66.1,303,18.1,254,18,311,99.6,227,97.6,244,102.2,176,103.2,223
Mississippi St.,SEC,65.8,296,67.2,264,18.4,287,17.2,143,107.7,93,101.7,161,95.3,54,98.2,82
Presbyterian,BSth,65.7,297,66.3,296,18.8,312,17.2,151,90.6,337,94.5,293,106.1,258,102.1,189
Virginia Tech 10,ACC,65.7,298,66.4,293,18.2,270,18,307,109.7,59,106.6,70,95.3,53,98.1,81
Montana,BSky,65.7,299,67.1,275,18.4,286,17.3,170,98.8,239,98.7,217,101.2,154,101.5,171
Louisville,ACC,65.7,300,66,307,17.9,246,18.2,330,107.7,92,102.4,148,94.2,44,100.1,133
UC Santa Barbara 12,BW,65.6,301,66.6,288,18.1,255,17.9,288,109.9,56,109.2,34,96.2,69,94.4,28
Boston University,Pat,65.6,302,67.7,240,17.9,248,17.3,174,100.3,210,102.6,144,109.3,307,109.2,316
Tulsa,Amer,65.6,303,67.1,273,17.7,230,18,308,102.6,165,96.8,263,97.5,91,98.8,98
Wagner,NEC,65.5,304,66.8,284,18.4,294,17.5,218,100.8,201,104.7,96,106.5,265,100.5,141
Dayton,A10,65.5,305,66.2,299,18.6,307,17.4,205,108.3,77,102.6,145,98.6,109,99.6,122
Oregon St. 12,P12,65.5,306,65.8,316,18.9,316,17.6,234,112.1,36,104.3,104,95.7,60,103.3,229
San Diego St. 6,MWC,65.5,307,66.6,286,16.9,131,18.8,345,111,45,109.6,30,91.1,21,92.9,13
Kansas St.,B12,65.5,308,66.3,295,18.8,309,17.3,172,99.6,226,93,312,98.1,100,105.1,262
Connecticut 7,BE,65.5,309,66.1,305,18.8,310,17.4,194,113.1,27,107.6,53,92.5,29,97.2,63
Appalachian St. 16,SB,65.5,310,66.1,306,18.4,296,17.8,275,98.4,245,99.5,205,103.1,191,100.6,144
East Tennessee St.,SC,65.4,311,67.1,274,18.1,256,17.5,230,103.2,159,101.9,156,99.2,117,100,129
Northern Illinois,MAC,65.4,312,67.5,254,17.7,226,17.7,256,93.3,312,91.9,320,111.2,328,113.6,341
Sacramento St.,BSky,65.3,313,66,309,18.6,305,17.8,284,102.4,168,103.6,118,110.3,318,109.8,321
Morehead St. 14,OVC,65.2,314,67,277,18.2,271,17.2,146,100.6,205,100.5,185,97.4,88,95.8,47
Bellarmine,ASun,65.1,315,66,308,17.8,236,18.3,332,108.3,78,110.3,23,108.3,293,104.3,246
Texas Tech 6,B12,65.1,316,67,279,18.2,268,17.9,287,112.7,32,107.2,56,90.9,18,93.6,19
Longwood,BSth,65,317,66.3,298,18.6,302,17.4,195,98,251,100.1,192,105.4,237,102.2,195
Mississippi,SEC,64.9,318,67.3,261,18.1,260,17.1,139,106.1,109,101.8,158,91.4,25,94.1,23
Grand Canyon 15,WAC,64.9,319,66.5,289,18.3,285,17.4,191,105.4,121,107.2,57,97.1,81,94.6,30
St. Bonaventure 9,A10,64.8,320,65.3,326,18.9,317,18,304,110,55,107.6,52,91,20,93.6,18
Maryland 10,B10,64.7,321,65.4,321,18.4,289,18.3,337,111.8,37,103.8,114,94.1,42,100.6,145
California,P12,64.7,322,65.8,314,19,321,17.3,177,105.5,119,98.2,229,99,115,105.8,278
Northern Kentucky,Horz,64.7,323,66.3,297,18.2,265,17.9,298,103.8,142,106.2,75,108,286,106,281
Incarnate Word,Slnd,64.7,324,67.2,271,18.4,291,16.7,63,93.6,308,96.5,267,112.7,342,107.3,291
New Mexico St.,WAC,64.6,325,65.5,320,20,343,16.7,58,104.1,134,105.6,86,102.7,184,100.3,136
Butler,BE,64.6,326,65.1,329,19.5,337,17.3,175,102.7,164,96.1,273,97.4,86,104,240
North Dakota St.,Sum,64.6,327,66.6,287,19.2,330,16.6,55,103.7,144,104.3,103,100.9,143,100.8,147
Wisconsin 9,B10,64.6,328,65.7,317,19,320,17.4,186,113,29,105.6,85,90.6,15,97.6,71
Niagara,MAAC,64.5,329,65.6,318,19,323,17.7,255,99.8,222,99.1,212,107.5,280,99.5,118
Maine,AE,64.5,330,65.3,325,19.2,326,17.4,183,85.9,353,81.7,344,105.9,251,98.5,90
Tarleton St.,WAC,64.4,331,65.9,312,19.8,341,16,7,97,270,96.9,258,105.9,256,103.2,226
Houston 2,Amer,64.4,332,65.3,323,19.3,334,17.3,161,118.3,7,114.7,5,89.6,9,90,6
Fairfield,MAAC,64.3,333,65.3,328,19.2,328,17.4,184,94.9,290,94,300,107.8,284,101.5,169
Texas A&M,SEC,64.3,334,66.1,304,17.6,218,18.5,341,101.9,175,97.2,253,98.9,111,101.4,167
Idaho St.,BSky,64.2,335,65.1,330,19.4,336,17.5,219,93.7,306,94.5,294,102.2,175,98.2,84
Villanova 5,BE,64.2,336,65.5,319,18.6,301,17.6,238,119,6,113.7,7,96,66,101.2,159
Clemson 7,ACC,64,337,64.8,332,18,251,18.7,343,106.4,107,99.6,203,90.9,19,95.3,40
Campbell,BSth,63.9,338,64.8,333,18.9,319,17.7,251,102.9,162,104.6,99,107.6,281,102.7,213
Northern Arizona,BSky,63.9,339,65.3,324,19.2,327,17.3,171,98.4,244,96.4,270,112.7,344,113.5,340
Drexel 16,CAA,63.9,340,66,311,19.3,333,16.8,83,106.5,104,106.9,62,105.8,248,102.4,206
UCLA 11,P12,63.8,341,65,331,19,324,17.9,289,116.9,11,108.8,37,94.5,46,101.6,175
Loyola Chicago 8,MVC,63.7,342,63.3,345,18.6,306,19,346,111.3,41,109.9,26,87,2,88.5,4
Fordham,A10,63.7,343,64.3,339,18.8,311,18.2,328,86.3,352,80.6,345,99.3,119,103.2,224
Cal St. Bakersfield,BW,63.6,344,65.3,327,19.2,329,17.4,210,104.6,129,103.5,124,101.4,158,100,130
Charleston,CAA,63.5,345,64.3,338,19,322,18.1,322,102.2,170,103.5,122,108.6,297,106.4,283
Radford,BSth,63.5,346,64.5,336,19.7,339,17.4,193,97.7,255,100.2,190,104.8,225,100.4,137
Liberty 13,ASun,63.1,347,64.7,334,19.4,335,17.6,242,109.8,58,112.6,12,101.2,153,96.5,57
Saint Mary's,WCC,62.9,348,65.8,315,20.2,345,16.2,21,101.8,178,97.8,241,90.2,13,95.1,37
Air Force,MWC,62.8,349,63.9,341,19.8,340,17.5,224,94.4,302,92.1,319,110.9,326,112.6,337
North Texas 13,CUSA,62.7,350,64.6,335,19.3,331,17.6,239,106.7,101,104.4,102,95,48,95.2,39
Charlotte,CUSA,62.7,351,64.3,337,18.8,308,18.1,320,97.3,261,96.4,269,103.8,206,101.3,163
UMKC,Sum,62.5,352,64.1,340,19.3,332,17.8,283,96.2,278,97.3,249,100.2,129,100.8,149
Davidson,A10,62.5,353,63.4,344,19.5,338,18.3,338,113.9,20,110,25,101.8,164,101.7,177
Texas St.,SB,62.4,354,63.6,343,19.9,342,17.4,192,99.6,228,101.4,168,100.8,141,95.6,43
Evansville,MVC,62,355,62.3,346,21.5,347,16.4,28,105.8,114,102.3,150,109.9,315,109.9,324
Mount St. Mary's 16,NEC,61.6,356,63.6,342,20.1,344,17.4,185,94.5,301,98.4,224,101.1,150,97.2,61
Virginia 4,ACC,59.9,357,60.8,347,20.3,346,18.8,344,114.7,17,111.7,16,93.3,36,98.8,101
