Team,Conf,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Offensive Average Possession Length (seconds),Offensive Average Possession Length Rank,Defensive Average Possession Length (seconds),Defensive Average Possession Length Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Adjusted Offensive Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Purdue 3,B10,66.1,237,66.7,258,17.8,206,18.2,313,121,2,117.9,3,98.6,93,101.9,177
New Mexico St. 12,WAC,66.1,238,67.7,198,18.6,292,17.1,74,107.1,92,104.1,128,96.5,61,95.8,38
Wyoming 12,MWC,66.1,239,66.1,279,18.7,295,17.6,184,109.1,67,106.8,66,97.2,71,98,75
Lamar,WAC,66.1,240,67.4,217,18.1,256,17.2,98,92,343,90.3,350,112.2,337,109.9,327
Murray St. 7,OVC,66.1,241,67.5,211,17.8,216,17.7,213,111.5,34,112.5,16,96.1,52,93.2,16
Cal St. Fullerton 15,BW,66.1,242,66.4,267,18,233,18.1,291,104.1,152,103.5,142,102.7,173,100,131
Kent St.,MAC,66,243,67.4,219,17.9,222,17.8,232,101.6,198,103.3,144,100,121,99.2,106
NJIT,AE,66,244,66.6,263,18.5,288,17.3,120,89.4,354,92.5,336,107.7,275,105.3,260
Georgia Southern,SB,66,245,66.4,268,17.8,211,18.1,301,96.1,302,94.8,310,103.4,188,100.8,152
TCU 9,B12,65.9,246,67.2,228,18.8,304,16.9,51,108.7,74,101.1,197,91.7,15,95.9,40
Saint Peter's 15,MAAC,65.9,247,66.8,255,18.5,289,17.4,130,100.3,231,99,243,93,25,93.4,20
Duquesne,A10,65.9,248,66.8,252,17.9,229,17.9,265,98.8,255,95.9,297,108.7,281,108.4,308
Loyola Marymount,WCC,65.9,249,67.4,216,18.5,286,17,52,105.8,118,101.8,182,108.5,280,109.7,325
Utah Valley,WAC,65.8,250,67.5,210,18.1,252,17.2,91,102.7,184,101.3,193,98.3,87,95.7,37
Bethune Cookman,SWAC,65.8,251,67.2,230,18.3,269,17.1,88,93.1,335,92.2,340,109.8,300,104.3,244
Stanford,P12,65.8,252,66.8,254,18.8,310,17.2,92,105.2,132,98.8,247,99.1,109,102.4,196
Elon,CAA,65.8,253,67,244,18.4,277,17.1,81,99.9,236,97.3,273,106.5,252,108.4,309
St. Bonaventure,A10,65.7,254,66.2,272,17.8,214,18.4,334,109.2,65,105.3,105,98.5,91,100.1,133
Stetson,ASun,65.7,255,66.6,260,18.8,308,17.1,70,96.6,292,97.9,264,109,289,107.7,301
South Dakota,Sum,65.7,256,67.3,224,18.8,311,16.8,33,104.4,149,108.7,38,107.5,269,107,281
Chicago St.,WAC,65.6,257,66.9,248,18.2,264,17.3,119,95.5,308,92.8,335,113.1,344,110.6,332
Notre Dame 11,ACC,65.6,258,65.8,295,18.2,263,18.1,298,112.4,28,108,48,97.2,69,100.6,145
Mississippi St.,SEC,65.6,259,66.6,262,18.2,262,17.7,204,109.7,56,104.9,114,95.8,46,98.3,87
Missouri,SEC,65.6,260,67.1,234,17.9,232,17.6,164,104.1,153,96.1,293,101.1,138,104.8,251
UC Santa Barbara,BW,65.6,261,65.8,296,18.6,291,17.8,224,105.1,133,106,87,102,159,97.3,64
San Diego,WCC,65.6,262,66.9,245,17.9,224,17.7,202,96.3,298,94.5,313,101.3,141,101.8,174
UNC Wilmington,CAA,65.5,263,66.4,269,17.7,192,18.5,340,105.1,135,105.5,101,103.1,183,102.3,190
Florida A&M,SWAC,65.5,264,66.8,253,17.6,188,18.2,316,94.9,315,94.4,318,107.6,274,102.3,189
Grand Canyon,WAC,65.5,265,66.9,249,17.8,218,17.6,189,104.7,143,104.8,117,96.5,62,92.3,9
Charlotte,CUSA,65.5,266,66.6,261,18.2,265,17.7,197,104.9,139,104.7,120,107.4,267,107.1,283
Florida,SEC,65.4,267,66.9,251,16.9,91,18.6,350,110.2,47,104.8,115,97.6,77,99,98
San Diego St. 8,MWC,65.4,268,65.3,315,17.5,171,19.2,357,103.4,167,99,240,86.3,2,88.1,1
San Jose St.,MWC,65.4,269,65.8,294,18.9,320,17.5,150,98.9,253,94.6,312,109.5,296,111.2,339
Colorado St. 6,MWC,65.4,270,65.8,290,17.5,165,18.9,354,112.9,24,109.5,30,98.4,89,99.6,119
UC Riverside,BW,65.3,271,65.3,316,19,324,17.6,163,100.3,228,98.8,249,100.9,131,97.2,63
East Tennessee St.,SC,65.3,272,66,285,18.1,257,18,286,107.7,83,106.8,63,108.9,286,110.4,330
Liberty,ASun,65.3,273,66,284,18.7,298,17.6,183,104.9,138,107.6,52,101.1,139,98.4,89
Montana,BSky,65.3,274,66.9,250,18,245,17.7,200,100.2,234,103.3,143,106.8,257,103.8,231
St. Thomas,Sum,65.3,275,67,243,18.4,275,17.4,135,106.6,102,108.6,40,119.1,357,116.9,357
Providence 4,BE,65.2,276,66,282,18.8,307,17.5,153,111.5,36,106.4,76,95.6,44,98.5,92
UCLA 4,P12,65.2,277,66.5,265,18.1,255,17.9,268,115.9,12,111.6,18,91.7,16,95.2,31
Mississippi,SEC,65.2,278,67,240,17.9,230,17.6,174,105.7,119,100.5,207,99.7,117,101.7,173
UC Irvine,BW,65.2,279,65,324,19,326,17.8,247,99.4,247,98.2,257,96.3,56,94.5,27
Hawaii,BW,65.2,280,65.5,303,18.5,283,18.3,328,101.6,199,102.3,170,101.5,148,98.4,88
UT Arlington,SB,65.2,281,66,283,18.3,271,17.8,219,97.7,272,94.4,317,102,157,101.1,161
Albany,AE,65.2,282,65.8,292,18.1,254,18.1,303,92.2,341,93.9,325,102.7,172,99.7,122
Jacksonville St. 15,ASun,65.1,283,66.2,277,19,325,17.1,83,105.1,134,106.2,83,103.2,184,100.4,140
Northern Arizona,BSky,65.1,284,67.2,226,18.8,312,16.9,40,95.5,307,96.6,283,112.4,340,110.7,333
Minnesota,B10,65.1,285,65.4,314,18.6,293,17.8,241,107.1,93,101.8,181,101.9,153,105.4,262
Boston University,Pat,65.1,286,65,326,18.4,279,18.2,314,105.4,128,106.7,67,109.4,294,103.2,214
Oklahoma,B12,65.1,287,66.2,274,17.9,227,18.1,297,111,40,102.8,161,94.6,38,97.3,66
Valparaiso,MVC,65.1,288,65.5,309,18,241,18.6,346,102.7,181,101.5,186,105.4,229,105.2,257
Ohio St. 7,B10,65,289,65.1,321,18.9,319,17.8,245,115.5,13,111,23,99.3,111,103.2,215
South Florida,Amer,65,290,65.8,293,18.1,248,18.1,293,90.9,349,87.1,355,97.7,79,98.6,93
American,Pat,64.9,291,65.6,301,19.7,347,16.8,30,94.4,323,96.2,292,110.6,317,107.4,291
Vermont 13,AE,64.9,292,65.2,319,18.3,273,18.3,323,111.1,39,114.3,7,97.9,83,93.6,22
Cal St. Northridge,BW,64.9,293,65.2,317,18.8,315,17.7,196,93.9,328,91.6,344,110.2,305,108,306
Boston College,ACC,64.9,294,65.5,310,18.5,284,17.9,250,104.5,146,100.9,203,100,120,102.2,188
Rutgers 11,B10,64.9,295,65.5,304,17.6,189,18.9,355,106.9,96,103.1,150,96.1,53,100.1,134
Detroit Mercy,Horz,64.9,296,65.5,308,18.7,300,17.8,240,105.6,124,106.6,69,111.2,325,108.6,312
Furman,SC,64.8,297,65.6,302,17.8,205,18.5,339,113.9,20,114.2,8,102.9,174,102.9,210
George Mason,A10,64.8,298,66.5,266,17.7,204,18.3,324,105.9,115,104,132,101.1,135,100.7,147
Sam Houston St.,WAC,64.8,299,65.9,287,18.2,261,17.8,242,100.6,221,99.1,238,98.3,86,96.9,58
Connecticut 5,BE,64.8,300,66.8,257,17.8,215,18.1,299,113.8,22,109.5,31,95.3,43,96.2,44
Morehead St.,OVC,64.8,301,65.9,286,18.3,270,17.9,273,103.4,165,103.6,140,99.1,108,96.9,57
Towson,CAA,64.8,302,66.1,280,18.9,323,17.6,179,109.6,58,109.9,28,98.7,96,97.1,62
Lafayette,Pat,64.8,303,65.7,298,18.3,272,18.1,289,97.1,282,100.2,212,111.5,330,108.7,315
Chattanooga 13,SC,64.7,304,65.5,307,18.9,318,17.8,230,109,69,110.2,26,97.5,76,99.1,102
Eastern Illinois,OVC,64.7,305,66.3,271,19.5,346,16.5,10,83.2,357,82.1,357,108.9,285,107.6,296
Navy,Pat,64.7,306,64.5,338,18.9,321,18,285,95.3,310,98.7,251,96.5,60,93.3,19
Davidson 10,A10,64.7,307,65.6,299,18.4,274,18.1,290,116.8,11,113.3,11,101.9,155,100.5,142
Loyola Chicago 10,MVC,64.7,308,65.5,305,17.7,196,18.6,351,108.6,75,108.6,43,92.1,18,92.8,12
Mercer,SC,64.7,309,65.5,306,18.9,317,17.5,158,105.6,122,105.7,98,107.4,268,109,317
Dartmouth,Ivy,64.7,310,66.4,270,18.4,282,17.4,132,98.6,259,98.6,256,101.1,136,101,158
Green Bay,Horz,64.7,311,65,327,19.4,344,17.5,145,91.9,345,94.2,319,110.4,313,107.2,287
Incarnate Word,Slnd,64.6,312,67.8,195,18.8,316,16.7,24,94.8,319,95.9,299,116.7,355,114.6,355
Austin Peay,OVC,64.6,313,65.8,291,18.8,306,17.5,149,94.8,318,93.8,328,105.6,235,104,236
Cal Poly,BW,64.6,314,65,325,18.7,296,17.8,238,93,336,92,342,105.8,240,103.2,213
Central Connecticut,NEC,64.6,315,66.2,273,18.8,314,17.2,97,91.5,347,92.3,338,111.2,326,107.5,294
Loyola MD,Pat,64.6,316,65.9,289,18.7,302,17.5,152,96.4,297,99.7,222,104.9,220,100.3,139
Appalachian St.,SB,64.5,317,65,328,19.4,338,17.4,128,101,211,100.2,210,100.8,129,100.2,138
Boise St. 8,MWC,64.4,318,64.8,333,18.7,294,18.4,332,107.5,86,103.1,152,92.4,20,93.2,17
Cal St. Bakersfield,BW,64.4,319,64.6,336,19.3,335,17.9,259,97.5,275,96,295,106.6,255,104,235
Northeastern,CAA,64.4,320,65.4,311,19.1,328,17.7,201,97,285,97.6,269,104.6,216,104.8,250
Old Dominion,CUSA,64.3,321,65.8,297,18,242,18.2,309,100.9,213,100.1,216,102.6,168,102.1,184
Niagara,MAAC,64.3,322,65.2,318,19.3,336,17.6,168,100.3,229,99.6,225,101.8,152,100,129
Fairfield,MAAC,64.3,323,65.1,320,18.4,281,17.5,154,100.6,220,101.1,198,103.5,190,100.7,148
Sacramento St.,BSky,64.3,324,66.1,278,18.6,290,17.4,133,95.1,313,97.3,274,108.8,284,107.2,286
Wofford,SC,64.2,325,64.8,332,19.1,329,18.1,295,106.5,109,108,50,101.5,146,102.6,203
Radford,BSth,64.1,326,64.8,334,18.7,303,17.9,258,95.3,309,94.2,320,105.5,234,102.6,204
Northern Kentucky,Horz,64.1,327,65.1,323,17.9,231,18.7,352,100.9,214,104.5,121,103,180,99.6,115
Presbyterian,BSth,64.1,328,65.4,312,18.8,305,17.8,220,96.4,296,96.1,294,104.5,214,103.4,218
Evansville,MVC,64.1,329,64.3,341,20.8,357,16.5,14,92.6,339,89.2,353,106.8,256,108.6,311
California,P12,64.1,330,65,329,19.5,345,17.2,103,100.5,222,96.3,288,98.2,84,100.7,149
Western Michigan,MAC,64,331,66.2,275,19.3,337,16.9,42,96.9,287,97.2,277,112.1,335,113.7,351
Pittsburgh,ACC,64,332,64.2,342,19.4,339,17.9,272,99.7,243,95.7,300,101.5,147,106.2,271
Idaho St.,BSky,63.9,333,65.6,300,19.4,340,16.9,49,93.9,329,94.6,311,111.4,328,109.4,320
Butler,BE,63.9,334,64.9,330,19.4,343,17.5,148,102.6,187,95.9,296,98.7,95,103.4,221
Texas St.,SB,63.8,335,64.6,335,19.2,330,17.8,237,105.7,120,105.1,110,102.7,171,100.5,143
Texas 6,B12,63.8,336,64.4,339,18.4,278,18.6,349,112.5,26,106,85,91.6,14,93.1,15
Jackson St.,SWAC,63.7,337,65.9,288,18.7,297,17.7,195,93.3,332,92.4,337,102.5,165,98.7,96
Houston 5,Amer,63.6,338,65.1,322,18.9,322,17.8,236,116.8,10,113.7,10,89.1,8,89.4,3
Saint Mary's 5,WCC,63.6,339,65.4,313,19.2,331,17.4,139,110.1,51,106.3,79,90.6,12,93.9,24
Virginia Tech 11,ACC,63.3,340,63.6,345,19.2,332,18.5,343,115,17,111,22,96.1,54,98.6,95
Mount St. Mary's,NEC,63.3,341,64.9,331,18.8,313,17.9,263,96.1,301,98.6,254,102.6,170,99.7,120
Air Force,MWC,63.2,342,63.4,347,20.3,354,17.3,110,95.5,306,92.9,334,104,208,104.3,246
Tarleton St.,WAC,63.1,343,64.6,337,19.8,348,17.1,67,99.6,245,97.5,271,103,179,101.2,164
Dayton,A10,63.1,344,64.4,340,18.7,299,18.4,336,109.1,68,107.2,58,94.6,39,94.7,29
Campbell,BSth,62.4,345,63.1,349,19.4,341,18.4,335,100.7,217,101.5,188,104.2,210,100,126
IUPUI,Horz,62.3,346,63.1,350,20,351,17.7,198,79.4,358,81.5,358,110.9,323,108.6,310
Villanova 2,BE,62.3,347,63.6,344,19.9,349,17.6,167,117.5,9,112.5,14,92.9,23,98.1,80
New Hampshire,AE,62.3,348,62.9,352,20.1,352,17.8,225,103,172,106.2,82,109.4,293,105.1,255
UNC Greensboro,SC,62.2,349,63,351,20,350,17.8,231,100.5,223,101.3,192,101.2,140,102.3,191
Merrimack,NEC,62.2,350,63.5,346,18.5,285,19,356,94.2,325,95.1,306,105.7,239,101.6,168
Southern Illinois,MVC,62.1,351,62.8,354,19.4,342,18.5,342,102.5,189,101.3,194,98.8,100,98,76
Akron 13,MAC,62.1,352,63.7,343,19.2,333,18.4,329,105.6,121,107.4,55,102,158,99.9,124
Bellarmine,ASun,62,353,63.3,348,19.1,327,18.6,348,107.9,81,107.2,59,110.4,312,110.8,335
Penn St.,B10,62,354,62.8,353,20.4,356,17.6,172,105.3,131,101.4,190,96,50,102,180
Fresno St.,MWC,61.8,355,62.4,355,19.2,334,18.8,353,105.5,126,104,131,94.4,37,93.7,23
Jacksonville,ASun,61.5,356,62.3,356,20.2,353,18.1,296,100.2,233,102.8,162,99.7,116,97.8,73
Virginia,ACC,59.5,357,60,358,20.3,355,19.4,358,107.6,85,103.8,135,96.4,59,100,130
North Texas,CUSA,59.3,358,60.3,357,21.2,358,18.2,315,105.8,116,105.9,91,92.8,22,93,14
